Khushkumar Jajoo,,,,,,,
ECE 202 Project 2 Phase 3,,,,,,,
"Finding the time of flight, range and the maximum height of the hit ball",,,,,,,
,,,,,,,
Time t (s),x (ft),y (ft),y(t)/y(t+dt),,,Maximum Height (ft),= MAX(C:C)
0.6606531,83.73618,45.56522,"=IF(C256="""","""",C255/C256)",,,,
0.6633063,84.04196,45.70339,"=IF(C257="""","""",C256/C257)",,,,
0.6659595,84.34752,45.84123,"=IF(C258="""","""",C257/C258)",,,,
0.6686128,84.65288,45.97875,"=IF(C259="""","""",C258/C259)",,,,
0.671266,84.95802,46.11594,"=IF(C260="""","""",C259/C260)",,,,
0.6739192,85.26296,46.25281,"=IF(C261="""","""",C260/C261)",,,,
0.6765724,85.56769,46.38934,"=IF(C262="""","""",C261/C262)",,,,
0.6792257,85.87221,46.52556,"=IF(C263="""","""",C262/C263)",,,,
0.6818789,86.17653,46.66144,"=IF(C264="""","""",C263/C264)",,,,
0.6845321,86.48063,46.79701,"=IF(C265="""","""",C264/C265)",,,,
0.6871853,86.78454,46.93225,"=IF(C266="""","""",C265/C266)",,,,
0.6898386,87.08823,47.06716,"=IF(C267="""","""",C266/C267)",,,,
0.6924918,87.39172,47.20175,"=IF(C268="""","""",C267/C268)",,,,
0.695145,87.695,47.33602,"=IF(C269="""","""",C268/C269)",,,,
0.6977982,87.99808,47.46996,"=IF(C270="""","""",C269/C270)",,,,
0.7004515,88.30095,47.60358,"=IF(C271="""","""",C270/C271)",,,,
0.7031047,88.60361,47.73688,"=IF(C272="""","""",C271/C272)",,,,
0.7057579,88.90607,47.86985,"=IF(C273="""","""",C272/C273)",,,,
0.7084111,89.20833,48.00251,"=IF(C274="""","""",C273/C274)",,,,
0.7110644,89.51039,48.13484,"=IF(C275="""","""",C274/C275)",,,,
0.7137176,89.81224,48.26685,"=IF(C276="""","""",C275/C276)",,,,
0.7163708,90.11388,48.39854,"=IF(C277="""","""",C276/C277)",,,,
0.719024,90.41533,48.52991,"=IF(C278="""","""",C277/C278)",,,,
0.7216773,90.71657,48.66095,"=IF(C279="""","""",C278/C279)",,,,
0.7243305,91.01761,48.79168,"=IF(C280="""","""",C279/C280)",,,,
0.7269837,91.31845,48.92209,"=IF(C281="""","""",C280/C281)",,,,
0.7296369,91.61908,49.05218,"=IF(C282="""","""",C281/C282)",,,,
0.7322902,91.91952,49.18194,"=IF(C283="""","""",C282/C283)",,,,
0.7349434,92.21975,49.31139,"=IF(C284="""","""",C283/C284)",,,,
0.7375966,92.51979,49.44052,"=IF(C285="""","""",C284/C285)",,,,
0.7402498,92.81962,49.56934,"=IF(C286="""","""",C285/C286)",,,,
0.7429031,93.11926,49.69783,"=IF(C287="""","""",C286/C287)",,,,
0.7455563,93.41869,49.826,"=IF(C288="""","""",C287/C288)",,,,
0.7482095,93.71792,49.95386,"=IF(C289="""","""",C288/C289)",,,,
0.7508627,94.01696,50.0814,"=IF(C290="""","""",C289/C290)",,,,
0.753516,94.3158,50.20863,"=IF(C291="""","""",C290/C291)",,,,
0.7561692,94.61444,50.33554,"=IF(C292="""","""",C291/C292)",,,,
0.7588224,94.91288,50.46213,"=IF(C293="""","""",C292/C293)",,,,
0.7614756,95.21112,50.5884,"=IF(C294="""","""",C293/C294)",,,,
0.7641289,95.50917,50.71436,"=IF(C295="""","""",C294/C295)",,,,
0.7667821,95.80702,50.84,"=IF(C296="""","""",C295/C296)",,,,
0.7694353,96.10467,50.96533,"=IF(C297="""","""",C296/C297)",,,,
0.7720885,96.40212,51.09034,"=IF(C298="""","""",C297/C298)",,,,
0.7747418,96.69938,51.21504,"=IF(C299="""","""",C298/C299)",,,,
0.777395,96.99645,51.33943,"=IF(C300="""","""",C299/C300)",,,,
0.7800482,97.29332,51.4635,"=IF(C301="""","""",C300/C301)",,,,
0.7827014,97.58999,51.58725,"=IF(C302="""","""",C301/C302)",,,,
0.7853547,97.88647,51.71069,"=IF(C303="""","""",C302/C303)",,,,
0.7880079,98.18275,51.83382,"=IF(C304="""","""",C303/C304)",,,,
0.7906611,98.47884,51.95664,"=IF(C305="""","""",C304/C305)",,,,
0.7933143,98.77474,52.07914,"=IF(C306="""","""",C305/C306)",,,,
0.7959676,99.07044,52.20133,"=IF(C307="""","""",C306/C307)",,,,
0.7986208,99.36595,52.32321,"=IF(C308="""","""",C307/C308)",,,,
0.801274,99.66127,52.44478,"=IF(C309="""","""",C308/C309)",,,,
0.8039272,99.95639,52.56603,"=IF(C310="""","""",C309/C310)",,,,
0.8065805,100.2513,52.68698,"=IF(C311="""","""",C310/C311)",,,,
0.8092337,100.5461,52.80761,"=IF(C312="""","""",C311/C312)",,,,
0.8118869,100.8406,52.92793,"=IF(C313="""","""",C312/C313)",,,,
0.8145401,101.135,53.04794,"=IF(C314="""","""",C313/C314)",,,,
0.8171934,101.4291,53.16764,"=IF(C315="""","""",C314/C315)",,,,
0.8198466,101.7231,53.28703,"=IF(C316="""","""",C315/C316)",,,,
0.8224998,102.0169,53.40612,"=IF(C317="""","""",C316/C317)",,,,
0.825153,102.3105,53.52489,"=IF(C318="""","""",C317/C318)",,,,
0.8278063,102.6039,53.64335,"=IF(C319="""","""",C318/C319)",,,,
0.8304595,102.8971,53.7615,"=IF(C320="""","""",C319/C320)",,,,
0.8331127,103.1901,53.87935,"=IF(C321="""","""",C320/C321)",,,,
0.8357659,103.483,53.99689,"=IF(C322="""","""",C321/C322)",,,,
0.8384192,103.7756,54.11412,"=IF(C323="""","""",C322/C323)",,,,
0.8410724,104.0681,54.23104,"=IF(C324="""","""",C323/C324)",,,,
0.8437256,104.3603,54.34765,"=IF(C325="""","""",C324/C325)",,,,
0.8463788,104.6524,54.46396,"=IF(C326="""","""",C325/C326)",,,,
0.8490321,104.9443,54.57996,"=IF(C327="""","""",C326/C327)",,,,
0.8516853,105.236,54.69565,"=IF(C328="""","""",C327/C328)",,,,
0.8543385,105.5275,54.81103,"=IF(C329="""","""",C328/C329)",,,,
0.8569917,105.8189,54.92611,"=IF(C330="""","""",C329/C330)",,,,
0.859645,106.11,55.04089,"=IF(C331="""","""",C330/C331)",,,,
0.8622982,106.401,55.15536,"=IF(C332="""","""",C331/C332)",,,,
0.8649514,106.6917,55.26952,"=IF(C333="""","""",C332/C333)",,,,
0.8676046,106.9823,55.38338,"=IF(C334="""","""",C333/C334)",,,,
0.8702579,107.2727,55.49693,"=IF(C335="""","""",C334/C335)",,,,
0.8729111,107.563,55.61018,"=IF(C336="""","""",C335/C336)",,,,
0.8755643,107.853,55.72312,"=IF(C337="""","""",C336/C337)",,,,
0.8782175,108.1428,55.83576,"=IF(C338="""","""",C337/C338)",,,,
0.8808708,108.4325,55.9481,"=IF(C339="""","""",C338/C339)",,,,
0.883524,108.722,56.06013,"=IF(C340="""","""",C339/C340)",,,,
0.8861772,109.0113,56.17186,"=IF(C341="""","""",C340/C341)",,,,
0.8888304,109.3004,56.28328,"=IF(C342="""","""",C341/C342)",,,,
0.8914837,109.5893,56.39441,"=IF(C343="""","""",C342/C343)",,,,
0.8941369,109.8781,56.50523,"=IF(C344="""","""",C343/C344)",,,,
0.8967901,110.1666,56.61574,"=IF(C345="""","""",C344/C345)",,,,
0.8994433,110.455,56.72596,"=IF(C346="""","""",C345/C346)",,,,
0.9020966,110.7432,56.83587,"=IF(C347="""","""",C346/C347)",,,,
0.9047498,111.0313,56.94549,"=IF(C348="""","""",C347/C348)",,,,
0.907403,111.3191,57.0548,"=IF(C349="""","""",C348/C349)",,,,
0.9100562,111.6068,57.16381,"=IF(C350="""","""",C349/C350)",,,,
0.9127095,111.8942,57.27252,"=IF(C351="""","""",C350/C351)",,,,
0.9153627,112.1815,57.38093,"=IF(C352="""","""",C351/C352)",,,,
0.9180159,112.4686,57.48903,"=IF(C353="""","""",C352/C353)",,,,
0.9206691,112.7556,57.59684,"=IF(C354="""","""",C353/C354)",,,,
